SystemOverview.AuditTrail.Fusion,5588,https://tlvgit03.nice.com/fmc-rd/cs/cybertech/SystemOverview.AuditTrail.Fusion.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/cybertech/SystemOverview.AuditTrail.Fusion.git
build-farm,5578,https://tlvgit03.nice.com/fmc-rd/cs/cybertech/build-farm.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/cybertech/build-farm.git
SystemOverview.Installer,5499,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Installer.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sys/SystemOverview.Installer.git
SystemOverview.Webservice,5498,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Webservice.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sys/SystemOverview.Webservice.git
SystemOverview.Compass.Channels.Plugin,5497,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Compass.Channels.Plugin.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sys/SystemOverview.Compass.Channels.Plugin.git
SystemOverview.Authentication.Fusion,5496,https://tlvgit03.nice.com/fmc-rd/cs/sys/SystemOverview.Authentication.Fusion.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sys/SystemOverview.Authentication.Fusion.git
Supervision.Reconcilliation,5495,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Reconcilliation.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sup/Supervision.Reconcilliation.git
Supervision.Installer,5494,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Installer.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sup/Supervision.Installer.git
Supervision.UI,5493,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.UI.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sup/Supervision.UI.git
Supervision.Core,5492,https://tlvgit03.nice.com/fmc-rd/cs/sup/Supervision.Core.git,gitlab@tlvgit03.nice.com:fmc-rd/cs/sup/Supervision.Core.git
